Pairwise swap-rejudge: originals=3123  target_judges=gpt-5.4  already_swapped=10  pending=74  workers=1
  1/74 ok (failed=0, cap_events=0)
  2/74 ok (failed=0, cap_events=0)
  3/74 ok (failed=0, cap_events=0)
  4/74 ok (failed=0, cap_events=0)
  5/74 ok (failed=0, cap_events=0)
  6/74 ok (failed=0, cap_events=0)
  7/74 ok (failed=0, cap_events=0)
  8/74 ok (failed=0, cap_events=0)
  9/74 ok (failed=0, cap_events=0)
  10/74 ok (failed=0, cap_events=0)
  20/74 ok (failed=0, cap_events=0)
  30/74 ok (failed=0, cap_events=0)
  40/74 ok (failed=0, cap_events=0)
  50/74 ok (failed=0, cap_events=0)
  60/74 ok (failed=0, cap_events=0)
  70/74 ok (failed=0, cap_events=0)
Pairwise swap-rejudge done: completed=74/74, failed=0, cap_aborted=0, cap_events=0
