Scoring 2154 total, 0 done, 323 pending, workers=3
  1/323 ok  (failed=0, cap_events=0)
  2/323 ok  (failed=0, cap_events=0)
  3/323 ok  (failed=0, cap_events=0)
  4/323 ok  (failed=0, cap_events=0)
  5/323 ok  (failed=0, cap_events=0)
  6/323 ok  (failed=0, cap_events=0)
  7/323 ok  (failed=0, cap_events=0)
  8/323 ok  (failed=0, cap_events=0)
  9/323 ok  (failed=0, cap_events=0)
  10/323 ok  (failed=0, cap_events=0)
  20/323 ok  (failed=0, cap_events=0)
  30/323 ok  (failed=0, cap_events=0)
  40/323 ok  (failed=0, cap_events=0)
  50/323 ok  (failed=0, cap_events=0)
  60/323 ok  (failed=0, cap_events=0)
  70/323 ok  (failed=0, cap_events=0)
  80/323 ok  (failed=0, cap_events=0)
  90/323 ok  (failed=0, cap_events=0)
  100/323 ok  (failed=0, cap_events=0)
  110/323 ok  (failed=0, cap_events=0)
  120/323 ok  (failed=0, cap_events=0)
  130/323 ok  (failed=0, cap_events=0)
  140/323 ok  (failed=0, cap_events=0)
  150/323 ok  (failed=0, cap_events=0)
  160/323 ok  (failed=0, cap_events=0)
  170/323 ok  (failed=0, cap_events=0)
  180/323 ok  (failed=0, cap_events=0)
  190/323 ok  (failed=0, cap_events=0)
  200/323 ok  (failed=0, cap_events=0)
  210/323 ok  (failed=0, cap_events=0)
  220/323 ok  (failed=0, cap_events=0)
  230/323 ok  (failed=0, cap_events=0)
  240/323 ok  (failed=0, cap_events=0)
  250/323 ok  (failed=0, cap_events=0)
  260/323 ok  (failed=0, cap_events=0)
  270/323 ok  (failed=0, cap_events=0)
  280/323 ok  (failed=0, cap_events=0)
  290/323 ok  (failed=0, cap_events=0)
  300/323 ok  (failed=0, cap_events=0)
  310/323 ok  (failed=0, cap_events=0)
  320/323 ok  (failed=0, cap_events=0)
Done. 323 succeeded, 0 failed. Scores at ~/claudeworkspace/psyche/psycheeval/runs/2026-05-19_v03/paraphrased_anchored_scores.jsonl. Checkpoint: ~/claudeworkspace/psyche/psycheeval/runs/2026-05-19_v03/checkpoint_score_paraphrased_anchored.json
