=== D1 same-orientation rejudge (opus, full pool) 2026-06-17T04:53:39+00:00 ===
same_orientation_rejudge sentinel: originals=14733  eligible=3830  sample_pct=10.0  sampled=383  already_done=124  pending=379  workers=1
  1/379 ok (failed=0, cap_events=0)
  2/379 ok (failed=0, cap_events=0)
  3/379 ok (failed=0, cap_events=0)
  4/379 ok (failed=0, cap_events=0)
  5/379 ok (failed=0, cap_events=0)
  6/379 ok (failed=0, cap_events=0)
  7/379 ok (failed=0, cap_events=0)
  8/379 ok (failed=0, cap_events=0)
  9/379 ok (failed=0, cap_events=0)
  10/379 ok (failed=0, cap_events=0)
  20/379 ok (failed=0, cap_events=0)
  30/379 ok (failed=0, cap_events=0)
  40/379 ok (failed=0, cap_events=0)
  50/379 ok (failed=0, cap_events=0)
  60/379 ok (failed=0, cap_events=0)
  70/379 ok (failed=0, cap_events=0)
  80/379 ok (failed=0, cap_events=0)
  90/379 ok (failed=0, cap_events=0)
  100/379 ok (failed=0, cap_events=0)
  110/379 ok (failed=0, cap_events=0)
  120/379 ok (failed=0, cap_events=0)
  130/379 ok (failed=0, cap_events=0)
  140/379 ok (failed=0, cap_events=0)
  150/379 ok (failed=0, cap_events=0)
  160/379 ok (failed=0, cap_events=0)
  170/379 ok (failed=0, cap_events=0)
  180/379 ok (failed=0, cap_events=0)
  190/379 ok (failed=0, cap_events=0)
  200/379 ok (failed=0, cap_events=0)
  210/379 ok (failed=0, cap_events=0)
  220/379 ok (failed=0, cap_events=0)
  230/379 ok (failed=0, cap_events=0)
  240/379 ok (failed=0, cap_events=0)
  250/379 ok (failed=0, cap_events=0)
  260/379 ok (failed=0, cap_events=0)
  270/379 ok (failed=0, cap_events=0)
  280/379 ok (failed=0, cap_events=0)
  290/379 ok (failed=0, cap_events=0)
  300/379 ok (failed=0, cap_events=0)
  310/379 ok (failed=0, cap_events=0)
  320/379 ok (failed=0, cap_events=0)
  330/379 ok (failed=0, cap_events=0)
  340/379 ok (failed=0, cap_events=0)
  350/379 ok (failed=0, cap_events=0)
  360/379 ok (failed=0, cap_events=0)
  370/379 ok (failed=0, cap_events=0)
same_orientation_rejudge done: completed=379/379, failed=0, cap_aborted=0, cap_events=0
=== D4 ternary sample (opus, full pool) 2026-06-17T06:12:26+00:00 ===
ternary_sample sentinel: originals=14733  eligible=3830  sample_pct=10.0  sampled=383  already_done=100  pending=377  workers=1
  1/377 ok (failed=0, cap_events=0)
  2/377 ok (failed=0, cap_events=0)
  3/377 ok (failed=0, cap_events=0)
  4/377 ok (failed=0, cap_events=0)
  5/377 ok (failed=0, cap_events=0)
  6/377 ok (failed=0, cap_events=0)
  7/377 ok (failed=0, cap_events=0)
  8/377 ok (failed=0, cap_events=0)
  9/377 ok (failed=0, cap_events=0)
  10/377 ok (failed=0, cap_events=0)
  20/377 ok (failed=0, cap_events=0)
  30/377 ok (failed=0, cap_events=0)
  40/377 ok (failed=0, cap_events=0)
  50/377 ok (failed=0, cap_events=0)
  60/377 ok (failed=0, cap_events=0)
  70/377 ok (failed=0, cap_events=0)
  80/377 ok (failed=0, cap_events=0)
  90/377 ok (failed=0, cap_events=0)
  100/377 ok (failed=0, cap_events=0)
  110/377 ok (failed=0, cap_events=0)
  120/377 ok (failed=0, cap_events=0)
  130/377 ok (failed=0, cap_events=0)
  140/377 ok (failed=0, cap_events=0)
  150/377 ok (failed=0, cap_events=0)
  160/377 ok (failed=0, cap_events=0)
  170/377 ok (failed=0, cap_events=0)
  180/377 ok (failed=0, cap_events=0)
  190/377 ok (failed=0, cap_events=0)
  200/377 ok (failed=0, cap_events=0)
  210/377 ok (failed=0, cap_events=0)
  220/377 ok (failed=0, cap_events=0)
  230/377 ok (failed=0, cap_events=0)
  240/377 ok (failed=0, cap_events=0)
  250/377 ok (failed=0, cap_events=0)
  260/377 ok (failed=0, cap_events=0)
  270/377 ok (failed=0, cap_events=0)
  280/377 ok (failed=0, cap_events=0)
  290/377 ok (failed=0, cap_events=0)
  300/377 ok (failed=0, cap_events=0)
  310/377 ok (failed=0, cap_events=0)
  320/377 ok (failed=0, cap_events=0)
  330/377 ok (failed=0, cap_events=0)
  340/377 ok (failed=0, cap_events=0)
  350/377 ok (failed=0, cap_events=0)
  360/377 ok (failed=0, cap_events=0)
  370/377 ok (failed=0, cap_events=0)
ternary_sample done: completed=377/377, failed=0, cap_aborted=0, cap_events=0
=== opus sentinel full-pool collection complete 2026-06-17T07:27:28+00:00 ===
