Run tag: 2026-05-19_v03
Manifest: 720 rows, 0 already complete, workers=2
Wrote blinding key to ~/claudeworkspace/psyche/psycheeval/runs/2026-05-19_v03/blinding_key.json
  1/720 ok  (failed=0, cap_events=0)
  2/720 ok  (failed=0, cap_events=0)
  3/720 ok  (failed=0, cap_events=0)
  4/720 ok  (failed=0, cap_events=0)
  5/720 ok  (failed=0, cap_events=0)
  6/720 ok  (failed=0, cap_events=0)
  7/720 ok  (failed=0, cap_events=0)
  8/720 ok  (failed=0, cap_events=0)
  9/720 ok  (failed=0, cap_events=0)
  10/720 ok  (failed=0, cap_events=0)
  20/720 ok  (failed=0, cap_events=0)
  30/720 ok  (failed=0, cap_events=0)
  40/720 ok  (failed=0, cap_events=0)
  50/720 ok  (failed=0, cap_events=0)
  60/720 ok  (failed=0, cap_events=0)
  70/720 ok  (failed=0, cap_events=0)
  80/720 ok  (failed=0, cap_events=0)
  90/720 ok  (failed=0, cap_events=0)
  100/720 ok  (failed=0, cap_events=0)
  110/720 ok  (failed=0, cap_events=0)
  120/720 ok  (failed=0, cap_events=0)
  130/720 ok  (failed=0, cap_events=0)
  140/720 ok  (failed=0, cap_events=0)
  150/720 ok  (failed=0, cap_events=0)
  160/720 ok  (failed=0, cap_events=0)
  170/720 ok  (failed=0, cap_events=0)
  180/720 ok  (failed=0, cap_events=0)
  190/720 ok  (failed=0, cap_events=0)
  200/720 ok  (failed=0, cap_events=0)
  210/720 ok  (failed=0, cap_events=0)
  220/720 ok  (failed=0, cap_events=0)
  230/720 ok  (failed=0, cap_events=0)
  240/720 ok  (failed=0, cap_events=0)
  250/720 ok  (failed=0, cap_events=0)
  260/720 ok  (failed=0, cap_events=0)
  270/720 ok  (failed=0, cap_events=0)
  280/720 ok  (failed=0, cap_events=0)
  290/720 ok  (failed=0, cap_events=0)
  300/720 ok  (failed=0, cap_events=0)
  310/720 ok  (failed=0, cap_events=0)
  320/720 ok  (failed=0, cap_events=0)
  330/720 ok  (failed=0, cap_events=0)
  340/720 ok  (failed=0, cap_events=0)
  350/720 ok  (failed=0, cap_events=0)
  360/720 ok  (failed=0, cap_events=0)
  370/720 ok  (failed=0, cap_events=0)
  380/720 ok  (failed=0, cap_events=0)
  390/720 ok  (failed=0, cap_events=0)
  400/720 ok  (failed=0, cap_events=0)
  410/720 ok  (failed=0, cap_events=0)
  420/720 ok  (failed=0, cap_events=0)
  430/720 ok  (failed=0, cap_events=0)
  440/720 ok  (failed=0, cap_events=0)
  450/720 ok  (failed=0, cap_events=0)
  460/720 ok  (failed=0, cap_events=0)
  470/720 ok  (failed=0, cap_events=0)
  480/720 ok  (failed=0, cap_events=0)
  490/720 ok  (failed=0, cap_events=0)
  500/720 ok  (failed=0, cap_events=0)
  510/720 ok  (failed=0, cap_events=0)
  520/720 ok  (failed=0, cap_events=0)
  530/720 ok  (failed=0, cap_events=0)
  540/720 ok  (failed=0, cap_events=0)
  550/720 ok  (failed=0, cap_events=0)
  560/720 ok  (failed=0, cap_events=0)
  570/720 ok  (failed=0, cap_events=0)
  580/720 ok  (failed=0, cap_events=0)
  590/720 ok  (failed=0, cap_events=0)
  600/720 ok  (failed=0, cap_events=0)
  610/720 ok  (failed=0, cap_events=0)
  620/720 ok  (failed=0, cap_events=0)
  630/720 ok  (failed=0, cap_events=0)
  640/720 ok  (failed=0, cap_events=0)
  650/720 ok  (failed=0, cap_events=0)
  660/720 ok  (failed=0, cap_events=0)
  670/720 ok  (failed=0, cap_events=0)
  680/720 ok  (failed=0, cap_events=0)
  690/720 ok  (failed=0, cap_events=0)
  700/720 ok  (failed=0, cap_events=0)
  710/720 ok  (failed=0, cap_events=0)
  720/720 ok  (failed=0, cap_events=0)
Done. 720 succeeded, 0 failed. Outputs at ~/claudeworkspace/psyche/psycheeval/runs/2026-05-19_v03/assistant_outputs.jsonl. Checkpoint: ~/claudeworkspace/psyche/psycheeval/runs/2026-05-19_v03/checkpoint_author.json
